"data_dt","pty_id","prdt_id","sys_source","ccy","buy_cnt","buy_mnt","buy_rake","buy_amt","buy_fare","sell_cnt","sell_mnt","sell_rake","sell_amt","sell_fare"
"20260130",C000000000000002,"9900263487",nm,"0",1,2500.0000,3.0400,8675.0000,0.0900,2,2500.0000,3.4300,8725.0000,4.4400
"20260130",C000000000000002,"9900264336",nm,"0",15,10000.0000,52.2800,149405.0000,1.4500,17,10000.0000,52.9000,151176.0000,77.1200
"20260130",C000000000000002,"9900267905",nm,"0",2,1100.0000,6.6700,19036.0000,0.1900,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000002,"9900267975",nm,"0",5,600.0000,6.9500,19902.0000,0.1900,6,600.0000,6.8800,19645.0000,10.0000
"20260130",C000000000000002,"9900269758",nm,"0",9,8300.0000,23.1900,64975.0000,0.6700,8,6300.0000,18.0000,49494.0000,25.2300
"20260130",C000000000000002,"9900269903",nm,"0",7,5000.0000,28.0400,80122.0000,0.8200,4,5000.0000,27.9700,79898.0000,40.7400
"20260130",C000000000000002,"9900270093",nm,"0",2,400.0000,6.6500,19023.0000,0.1900,3,400.0000,6.6200,18925.0000,9.6700
"20260130",C000000000000002,"9900305607",nm,"0",1,3059656.0400,0.0000,3059656.0400,0.0000,1,3093343.9300,0.0000,3093343.9300,0.0000
"20260130",C000000000000005,"9900286227",nm,"0",0,0.0000,0.0000,0.0000,0.0000,0,1812.0000,18.1200,1812000.0000,0.0000
"20260130",C000000000000006,"9900267880",nm,"0",0,0.0000,0.0000,0.0000,0.0000,1,1000.0000,5.0000,7860.0000,4.0100
"20260130",C000000000000006,"9900305607",nm,"0",1,7849.9400,0.0000,7849.9400,0.0000,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000007,"9900286227",nm,"0",0,0.0000,0.0000,0.0000,0.0000,0,4383.0000,4.3800,4383000.0000,0.0000
"20260130",C000000000000010,"9900286227",nm,"0",0,0.0000,0.0000,0.0000,0.0000,0,874.0000,8.7400,874000.0000,0.0000
"20260130",C000000000000019,"9900263928",nm,"0",1,800.0000,5.0000,16888.0000,0.1700,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000019,"9900305607",nm,"0",1,1770.1600,0.0000,1770.1600,0.0000,1,18663.3300,0.0000,18663.3300,0.0000
"20260130",C000000000000026,"9900286227",nm,"0",0,0.0000,0.0000,0.0000,0.0000,0,300.0000,3.0000,300000.0000,0.0000
"20260130",C000000000000029,"9900264169",nm,"0",0,0.0000,0.0000,0.0000,0.0000,1,1000.0000,5.0000,9730.0000,4.9700
"20260130",C000000000000029,"9900264233",nm,"0",2,1000.0000,10.0000,8750.0000,0.0800,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000029,"9900264322",nm,"0",1,500.0000,5.0000,2150.0000,0.0200,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000029,"9900267763",nm,"0",1,200.0000,5.0000,7748.0000,0.0800,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000029,"9900270039",nm,"0",1,500.0000,5.0000,4930.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000031,"9900049873",nm,"0",1,100.0000,5.0000,12030.0000,0.1200,1,100.0000,5.0000,12133.0000,6.1900
"20260130",C000000000000031,"9900204428",nm,"0",1,100.0000,5.0000,2228.0000,0.0200,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000031,"9900264277",nm,"0",0,0.0000,0.0000,0.0000,0.0000,1,300.0000,5.0000,2958.0000,1.5100
"20260130",C000000000000031,"9900268405",nm,"0",3,300.0000,15.0000,12413.0000,0.1200,1,100.0000,5.0000,4088.0000,2.0800
"20260130",C000000000000031,"9900286227",nm,"0",0,0.0000,0.0000,0.0000,0.0000,0,108.0000,1.0800,108000.0000,0.0000
"20260130",C000000000000033,"9900286227",nm,"0",0,0.0000,0.0000,0.0000,0.0000,0,326.0000,3.2600,326000.0000,0.0000
"20260130",C000000000000033,"9900305607",nm,"0",0,0.0000,0.0000,0.0000,0.0000,1,6.2500,0.0000,6.2500,0.0000
"20260130",C000000000000040,"9900178688",fc,"0",0,0.0000,0.0000,0.0000,0.0000,1,3500.0000,33.0800,42665.0000,0.0000
"20260130",C000000000000040,"9900178688",nm,"0",0,0.0000,0.0000,0.0000,0.0000,1,3500.0000,11.3200,42665.0000,21.7600
"20260130",C000000000000040,"9900194830",fc,"0",0,0.0000,0.0000,0.0000,0.0000,3,7600.0000,73.1200,89933.0000,0.0000
"20260130",C000000000000040,"9900194830",nm,"0",0,0.0000,0.0000,0.0000,0.0000,3,7600.0000,27.2500,89933.0000,45.8700
"20260130",C000000000000040,"9900203820",fc,"0",4,4490.0000,36.3200,117627.4200,0.0000,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000040,"9900203820",nm,"0",4,4490.0000,35.1500,117627.4200,1.1700,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000040,"9900269997",fc,"0",0,0.0000,0.0000,0.0000,0.0000,1,200.0000,6.0900,2138.0000,0.0000
"20260130",C000000000000040,"9900269997",nm,"0",0,0.0000,0.0000,0.0000,0.0000,1,200.0000,5.0000,2138.0000,1.0900
"20260130",C000000000000042,"9900242106",fc,"0",0,0.0000,0.0000,0.0000,0.0000,1,4800.0000,50.7000,63744.0000,0.0000
"20260130",C000000000000042,"9900242106",nm,"0",0,0.0000,0.0000,0.0000,0.0000,1,4800.0000,18.1900,63744.0000,32.5100
"20260130",C000000000000042,"9900267843",fc,"0",0,0.0000,0.0000,0.0000,0.0000,1,7500.0000,49.7500,62550.0000,0.0000
"20260130",C000000000000042,"9900267843",nm,"0",0,0.0000,0.0000,0.0000,0.0000,1,7500.0000,17.8500,62550.0000,31.9000
"20260130",C000000000000042,"9900270518",fc,"0",1,7000.0000,27.8700,94360.0000,0.0000,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000042,"9900270518",nm,"0",1,7000.0000,26.9300,94360.0000,0.9400,0,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000044,"9900090346",fc,"0",0,0.0000,0.0000,0.0000,0.0000,1,100.0000,8.6000,7058.0000,0.0000
