"data_dt","pty_id","sys_source","cash_in","cash_out","tran_in","tran_out","assign_in","assign_out"
"20260130",C000000000000005,nm,0.0000,120000.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000010,nm,0.0000,759.6300,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000026,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000036,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000040,fc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000042,fc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000044,fc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000050,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000061,nm,30000.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000067,nm,11000.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000069,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000077,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000087,fc,52000.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000088,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000099,fc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000100,nm,0.0000,500.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000109,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000115,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000123,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000124,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000125,nm,20000.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000127,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000130,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000132,fc,0.0000,60000.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000150,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000157,nm,0.0000,30000.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000165,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000169,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000173,fc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000175,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000176,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000179,fc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000205,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000206,fc,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"20260130",C000000000000209,nm,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
